fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_loefflerk,results_warnockr,results_collinsd,results_taylork,results_jacksond,results_graysond,results_jamesj,results_liebermanm,results_johnsonw,results_johnson_shealeyt,results_jacksona,results_sladej,results_winfieldr,results_slowinskib,results_buckleya,results_bartella,results_fortuinj,results_greenem,results_tarvere,results_stovallv,results_write_ins,results_absentee_loefflerk,results_absentee_warnockr,results_absentee_collinsd,results_absentee_taylork,results_absentee_jacksond,results_absentee_graysond,results_absentee_jamesj,results_absentee_liebermanm,results_absentee_johnsonw,results_absentee_johnson_shealeyt,results_absentee_jacksona,results_absentee_sladej,results_absentee_winfieldr,results_absentee_slowinskib,results_absentee_buckleya,results_absentee_bartella,results_absentee_fortuinj,results_absentee_greenem,results_absentee_tarvere,results_absentee_stovallv,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time,results_kellym,results_mcsallym,results_absentee_kellym,results_absentee_mcsallym
13063,Clayton,111262,90591,65,65,None,99,112344,>98%,>98% reported,edison,10,unknown,,91435,,,7087,65681,5361,320,13738,557,4397,2846,351,4295,548,1935,1109,327,316,332,257,242,438,1125,,5771,55894,4429,213,10332,403,3335,2087,244,3156,368,1361,805,200,231,216,191,145,348,862,,2020-11-24T13:26:44Z,46.6853,D+47,Warnock +47,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13065,Clinch,2700,1901,5,5,"As a precinct in the FIRST cumulative report, along with regular precincts",94,2864,94%,94% reported,edison,10,unknown,,1870,,,1066,239,742,38,218,72,36,40,43,69,37,17,18,11,14,11,5,6,12,6,,768,172,526,21,152,45,25,29,29,52,25,8,13,7,8,7,4,3,5,2,,2020-11-24T13:26:45Z,12,R+12,Loeffler +12,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13067,Cobb,388963,319042,145,145,Merged into voters' home precincts and released with cumulative results,99,393744,>98%,>98% reported,edison,10,unknown,,202586,,,98534,146081,57863,2266,27799,2922,8510,12917,1894,8518,3336,4179,2215,3692,1569,1193,1579,1065,1626,1205,,76346,129533,46370,1556,22296,2059,6735,10476,1258,6688,2356,3107,1795,2347,1138,864,1172,716,1396,834,,2020-11-24T13:26:45Z,12.22404,D+12,Warnock +12,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13069,Coffee,14722,11122,5,6,Other,97,15214,97%,97% reported,edison,10,all,,13390,,,4324,2455,4853,427,821,239,234,307,180,300,125,87,63,51,62,47,29,42,50,26,,3285,1864,3751,327,630,154,176,231,119,203,84,50,43,33,37,31,22,30,35,17,,2020-11-24T13:26:45Z,3.59326,R+4,Collins +4,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13071,Colquitt,15782,10439,19,19,None,98,16083,98%,98% reported,edison,10,unknown,,9626,,,6562,2531,4336,156,655,215,162,260,137,228,134,62,62,75,42,44,30,36,38,17,,4179,1802,2827,98,489,127,132,188,86,173,83,42,50,38,22,24,13,30,26,10,,2020-11-24T13:26:45Z,14.10468,R+14,Loeffler +14,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13073,Columbia,79405,60847,47,47,Merged into voters' home precincts and released with cumulative results,99,80579,>98%,>98% reported,edison,10,unknown,,44339,,,28606,16245,18299,685,4100,909,1213,2054,673,1238,866,564,386,748,303,274,256,235,1545,206,,20854,13703,14008,458,3367,592,975,1594,423,953,566,422,295,449,201,186,174,141,1342,144,,2020-11-24T13:26:45Z,12.98029,R+13,Loeffler +13,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13075,Cook,6914,5264,8,8,Released as a separate subtotal as first report of the night,98,7035,98%,98% reported,edison,10,unknown,,5070,,,2703,1085,1762,125,400,103,106,145,60,106,68,50,23,39,32,19,13,18,45,12,,2086,810,1385,96,286,72,78,102,44,70,52,34,20,23,24,16,10,12,35,9,,2020-11-24T13:26:45Z,13.61007,R+14,Loeffler +14,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13077,Coweta,75642,51868,26,26,None,98,76799,98%,98% reported,edison,10,unknown,,37867,,,28927,16593,18824,636,2732,941,737,1526,589,873,795,411,286,686,232,197,213,145,146,153,,18715,13102,12586,361,2022,518,530,1130,320,634,466,263,189,332,147,120,145,78,119,91,,2020-11-24T13:26:45Z,13.35634,R+13,Loeffler +13,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13079,Crawford,5998,4588,6,6,Released as a separate subtotal as first report of the night,98,6102,98%,98% reported,edison,10,unknown,,4342,,,2281,1172,1771,55,179,77,55,87,64,53,30,28,30,29,36,17,9,10,10,5,,1686,987,1340,38,152,54,39,66,41,46,22,20,24,15,24,11,5,5,9,4,,2020-11-24T13:26:45Z,8.50283,R+9,Loeffler +9,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13081,Crisp,7885,6346,4,5,None,98,8052,98%,98% reported,edison,10,all,,6558,,,2330,1738,2316,88,569,89,118,132,45,149,56,73,48,27,17,34,11,13,22,10,,1865,1449,1919,58,428,62,92,107,33,114,41,47,40,18,14,24,7,4,16,8,,2020-11-24T13:26:45Z,0.17755,R+0.18,Loeffler +0.18,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
